ctgov,dist,parameter,est,se
NCT01167881,gengamma,mu,9.287e+00,5.937e-01
NCT01167881,gengamma,sigma,1.658e+00,6.530e-02
NCT01167881,gengamma,Q,-1.732e+00,4.743e-01
NCT01177813,gengamma,mu,7.544e+00,2.911e+01
NCT01177813,gengamma,sigma,-8.439e-01,1.474e+02
NCT01177813,gengamma,Q,2.714e+00,4.000e+02
NCT01191268,gengamma,mu,7.142e+00,7.317e-01
NCT01191268,gengamma,sigma,1.329e+00,7.615e-02
NCT01191268,gengamma,Q,-1.753e+00,7.621e-01
NCT01191944,gengamma,mu,9.569e+00,8.994e+00
NCT01191944,gengamma,sigma,-3.739e-01,2.591e+01
NCT01191944,gengamma,Q,2.887e+00,7.480e+01
NCT01194830,gengamma,mu,6.583e+00,6.412e-01
NCT01194830,gengamma,sigma,1.110e+00,2.541e-01
NCT01194830,gengamma,Q,-5.598e-01,8.813e-01
NCT01204294,gengamma,mu,9.264e+00,6.012e-01
NCT01204294,gengamma,sigma,-2.738e-01,1.251e-01
NCT01204294,gengamma,Q,1.761e+00,7.318e-02
NCT01210001,gengamma,mu,8.319e+00,5.590e-01
NCT01210001,gengamma,sigma,-2.199e-01,3.077e+00
NCT01210001,gengamma,Q,1.725e+00,5.306e+00
NCT01214239,gengamma,mu,8.428e+00,7.781e-01
NCT01214239,gengamma,sigma,9.361e-01,6.363e-01
NCT01214239,gengamma,Q,-1.111e-02,1.025e+00
NCT01306214,gengamma,mu,7.624e+00,3.972e-01
NCT01306214,gengamma,sigma,-2.351e-01,1.545e+00
NCT01306214,gengamma,Q,1.319e+00,2.161e+00
NCT01335464,gengamma,mu,7.315e+00,1.635e-01
NCT01335464,gengamma,sigma,-4.222e-01,7.161e-02
NCT01335464,gengamma,Q,1.731e+00,3.862e-02
NCT01335477,gengamma,mu,7.474e+00,2.135e-01
NCT01335477,gengamma,sigma,1.729e-01,4.500e-01
NCT01335477,gengamma,Q,9.294e-01,5.941e-01
NCT01368081,gengamma,mu,8.601e+00,2.050e+01
NCT01368081,gengamma,sigma,-9.212e-01,9.964e+01
NCT01368081,gengamma,Q,2.954e+00,2.943e+02
NCT01370005,gengamma,mu,7.996e+00,1.340e+00
NCT01370005,gengamma,sigma,1.444e+00,4.593e-01
NCT01370005,gengamma,Q,-1.987e+00,2.625e+00
NCT01422876,gengamma,mu,8.337e+00,2.879e-01
NCT01422876,gengamma,sigma,-2.119e-02,9.803e-01
NCT01422876,gengamma,Q,1.443e+00,1.453e+00
NCT01558271,gengamma,mu,9.673e+00,1.895e+01
NCT01558271,gengamma,sigma,-3.201e-01,7.310e+01
NCT01558271,gengamma,Q,2.400e+00,1.755e+02
NCT01621178,gengamma,mu,8.319e+00,2.886e-01
NCT01621178,gengamma,sigma,-3.583e-01,9.352e-02
NCT01621178,gengamma,Q,2.192e+00,2.358e-02
NCT01624259,gengamma,mu,9.094e+00,1.542e+00
NCT01624259,gengamma,sigma,1.563e+00,4.408e-01
NCT01624259,gengamma,Q,-1.657e+00,2.311e+00
NCT01694771,gengamma,mu,7.309e+00,9.703e-01
NCT01694771,gengamma,sigma,3.837e-01,9.147e-01
NCT01694771,gengamma,Q,5.050e-01,1.015e+00
NCT01708902,gengamma,mu,8.579e+00,4.682e-01
NCT01708902,gengamma,sigma,-2.100e-01,1.082e-01
NCT01708902,gengamma,Q,1.960e+00,3.220e-02
NCT01719003,gengamma,mu,8.607e+00,3.610e-01
NCT01719003,gengamma,sigma,-7.603e-02,3.659e+00
NCT01719003,gengamma,Q,1.729e+00,6.335e+00
NCT01769378,gengamma,mu,2.677e+00,7.136e-02
NCT01769378,gengamma,sigma,-7.370e-01,9.604e-01
NCT01769378,gengamma,Q,-6.220e+01,5.851e+01
NCT02152371,gengamma,mu,6.774e+00,2.139e+00
NCT02152371,gengamma,sigma,1.633e+00,1.499e-01
NCT02152371,gengamma,Q,-3.537e+00,2.510e+00
NCT02172287,gengamma,mu,7.694e+00,7.073e-01
NCT02172287,gengamma,sigma,1.442e+00,2.175e-01
NCT02172287,gengamma,Q,-7.210e-01,8.172e-01
NCT02172586,gengamma,mu,7.515e+00,3.857e-01
NCT02172586,gengamma,sigma,-4.290e-01,1.247e-01
NCT02172586,gengamma,Q,2.046e+00,4.096e-02
NCT02175355,gengamma,mu,6.632e+00,3.951e-01
NCT02175355,gengamma,sigma,8.459e-01,4.772e-01
NCT02175355,gengamma,Q,-4.941e-01,1.006e+00
NCT02177344,gengamma,mu,8.782e+00,4.633e-01
NCT02177344,gengamma,sigma,-3.232e-01,1.165e-01
NCT02177344,gengamma,Q,2.646e+00,2.219e-02
NCT02177396,gengamma,mu,7.373e+00,7.481e-01
NCT02177396,gengamma,sigma,1.252e+00,5.409e-01
NCT02177396,gengamma,Q,-9.791e-01,1.744e+00
NCT02177461,gengamma,mu,6.260e+00,1.734e-01
NCT02177461,gengamma,sigma,4.725e-01,2.156e-01
NCT02177461,gengamma,Q,2.851e-01,3.819e-01
NCT02183064,gengamma,mu,8.641e+00,1.353e+00
NCT02183064,gengamma,sigma,1.877e+00,1.139e-01
NCT02183064,gengamma,Q,-2.345e+00,1.151e+00
NCT02200653,gengamma,mu,7.262e+00,3.532e+01
NCT02200653,gengamma,sigma,-1.516e+00,2.360e+02
NCT02200653,gengamma,Q,4.951e+00,1.169e+03
NCT02240680,gengamma,mu,1.036e+01,1.708e+00
NCT02240680,gengamma,sigma,1.148e+00,9.313e-01
NCT02240680,gengamma,Q,1.932e-01,1.259e+00
NCT02489968,gengamma,mu,9.306e+00,1.669e+00
NCT02489968,gengamma,sigma,1.581e+00,3.890e-01
NCT02489968,gengamma,Q,-1.986e+00,2.374e+00
NCT02750410,gengamma,mu,8.122e+00,1.923e+00
NCT02750410,gengamma,sigma,1.329e+00,3.753e-01
NCT02750410,gengamma,Q,-1.728e+00,2.606e+00
NCT00034840,gompertz,shape,6.159e-03,1.055e-02
NCT00034840,gompertz,rate,-6.922e+00,3.632e-01
NCT00051558,gompertz,shape,-7.952e-04,2.427e-04
NCT00051558,gompertz,rate,-7.170e+00,1.264e-01
NCT00125918,gompertz,shape,2.068e-03,3.815e-03
NCT00125918,gompertz,rate,-6.632e+00,2.531e-01
NCT00152984,gompertz,shape,-1.308e-02,1.030e-02
NCT00152984,gompertz,rate,-7.313e+00,4.387e-01
NCT00153023,gompertz,shape,-5.413e-03,8.181e-04
NCT00153023,gompertz,rate,-6.638e+00,1.257e-01
NCT00153088,gompertz,shape,-1.125e-03,6.225e-04
NCT00153088,gompertz,rate,-7.703e+00,1.842e-01
NCT00168831,gompertz,shape,-5.147e-03,7.010e-04
NCT00168831,gompertz,rate,-6.309e+00,1.027e-01
NCT00168844,gompertz,shape,-5.405e-03,7.989e-04
NCT00168844,gompertz,rate,-6.541e+00,1.164e-01
NCT00168857,gompertz,shape,-1.729e-03,7.317e-04
NCT00168857,gompertz,rate,-7.093e+00,1.381e-01
NCT00239421,gompertz,shape,-6.444e-04,1.524e-02
NCT00239421,gompertz,rate,-6.938e+00,3.904e-01
NCT00274014,gompertz,shape,-2.661e-03,6.498e-04
NCT00274014,gompertz,rate,-6.661e+00,1.101e-01
NCT00274053,gompertz,shape,-5.512e-03,1.318e-03
NCT00274053,gompertz,rate,-6.466e+00,1.607e-01
NCT00274079,gompertz,shape,-1.405e-02,6.188e-03
NCT00274079,gompertz,rate,-5.881e+00,2.453e-01
NCT00274547,gompertz,shape,-7.826e-03,1.026e-03
NCT00274547,gompertz,rate,-6.012e+00,8.539e-02
NCT00274560,gompertz,shape,-1.134e-02,5.016e-03
NCT00274560,gompertz,rate,-6.188e+00,2.134e-01
NCT00274573,gompertz,shape,-1.922e-02,2.599e-03
NCT00274573,gompertz,rate,-5.355e+00,9.752e-02
NCT00274599,gompertz,shape,-8.834e-03,3.793e-03
NCT00274599,gompertz,rate,-6.356e+00,1.902e-01
NCT00274612,gompertz,shape,-2.775e-03,3.766e-03
NCT00274612,gompertz,rate,-6.703e+00,2.095e-01
NCT00277264,gompertz,shape,-6.759e-03,8.039e-04
NCT00277264,gompertz,rate,-6.183e+00,1.072e-01
NCT00321854,gompertz,shape,-2.368e-03,7.304e-04
NCT00321854,gompertz,rate,-6.710e+00,1.432e-01
NCT00384930,gompertz,shape,-6.726e-03,3.256e-03
NCT00384930,gompertz,rate,-6.104e+00,1.504e-01
NCT00402233,gompertz,shape,-2.353e-02,7.434e-03
NCT00402233,gompertz,rate,-5.672e+00,2.664e-01
NCT00466167,gompertz,shape,-8.163e-03,2.085e-03
NCT00466167,gompertz,rate,-6.583e+00,1.991e-01
NCT00472199,gompertz,shape,-1.473e-02,2.375e-03
NCT00472199,gompertz,rate,-5.224e+00,1.570e-01
NCT00479401,gompertz,shape,-9.608e-03,1.719e-03
NCT00479401,gompertz,rate,-6.149e+00,1.617e-01
NCT00525512,gompertz,shape,-2.400e-03,4.406e-04
NCT00525512,gompertz,rate,-6.804e+00,1.298e-01
NCT00563381,gompertz,shape,-5.644e-03,3.040e-04
NCT00563381,gompertz,rate,-6.737e+00,4.598e-02
NCT00601250,gompertz,shape,-4.067e-03,2.843e-03
NCT00601250,gompertz,rate,-7.401e+00,2.558e-01
NCT00602472,gompertz,shape,-1.018e-03,2.305e-03
NCT00602472,gompertz,rate,-7.637e+00,2.208e-01
NCT00622284,gompertz,shape,-1.916e-03,2.662e-04
NCT00622284,gompertz,rate,-7.314e+00,8.910e-02
NCT00641043,gompertz,shape,-6.293e-03,3.664e-03
NCT00641043,gompertz,rate,-7.068e+00,3.067e-01
NCT00654381,gompertz,shape,8.109e-03,2.135e-03
NCT00654381,gompertz,rate,-1.056e+01,5.800e-01
NCT00734474,gompertz,shape,-8.817e-04,2.349e-04
NCT00734474,gompertz,rate,-6.975e+00,8.461e-02
NCT00740051,gompertz,shape,-1.308e-03,1.352e-03
NCT00740051,gompertz,rate,-7.064e+00,2.590e-01
NCT00772538,gompertz,shape,-3.942e-03,1.583e-03
NCT00772538,gompertz,rate,-7.475e+00,2.536e-01
NCT00776984,gompertz,shape,-5.544e-05,1.429e-03
NCT00776984,gompertz,rate,-7.940e+00,2.746e-01
NCT00782210,gompertz,shape,-3.648e-03,9.844e-04
NCT00782210,gompertz,rate,-6.819e+00,1.574e-01
NCT00782509,gompertz,shape,-4.556e-03,1.101e-03
NCT00782509,gompertz,rate,-6.934e+00,1.687e-01
NCT00793624,gompertz,shape,-5.547e-03,8.734e-04
NCT00793624,gompertz,rate,-6.598e+00,1.255e-01
NCT00798161,gompertz,shape,-7.416e-03,2.116e-03
NCT00798161,gompertz,rate,-6.575e+00,1.720e-01
NCT00800683,gompertz,shape,-2.802e-03,1.683e-03
NCT00800683,gompertz,rate,-6.627e+00,2.968e-01
NCT00848081,gompertz,shape,-3.130e-03,6.794e-03
NCT00848081,gompertz,rate,-6.429e+00,3.166e-01
NCT00855582,gompertz,shape,-1.334e-02,4.987e-03
NCT00855582,gompertz,rate,-6.032e+00,2.071e-01
NCT00861757,gompertz,shape,-5.456e-03,5.818e-03
NCT00861757,gompertz,rate,-6.707e+00,2.667e-01
NCT00915772,gompertz,shape,1.213e-04,8.727e-04
NCT00915772,gompertz,rate,-7.494e+00,1.869e-01
NCT00926289,gompertz,shape,-2.553e-02,9.671e-03
NCT00926289,gompertz,rate,-6.024e+00,2.273e-01
NCT00954447,gompertz,shape,-3.067e-03,5.829e-04
NCT00954447,gompertz,rate,-7.450e+00,1.279e-01
NCT00970632,gompertz,shape,5.693e-03,5.327e-03
NCT00970632,gompertz,rate,-6.935e+00,2.839e-01
NCT00975195,gompertz,shape,-2.371e-03,4.549e-04
NCT00975195,gompertz,rate,-7.091e+00,8.289e-02
NCT00996658,gompertz,shape,-1.640e-03,3.702e-03
NCT00996658,gompertz,rate,-7.152e+00,3.468e-01
NCT01064687,gompertz,shape,-2.076e-03,9.459e-04
NCT01064687,gompertz,rate,-7.727e+00,1.776e-01
NCT01075282,gompertz,shape,-2.036e-03,7.133e-04
NCT01075282,gompertz,rate,-8.006e+00,1.912e-01
NCT01084005,gompertz,shape,2.325e-03,4.525e-03
NCT01084005,gompertz,rate,-7.714e+00,4.535e-01
