ctgov,dist,loglik,aic
NCT00274612,gengamma,-6.423e+02,1.291e+03
NCT00277264,gengamma,-1.711e+03,3.428e+03
NCT00321854,gengamma,-1.172e+03,2.350e+03
NCT00384930,gengamma,-1.066e+03,2.138e+03
NCT00402233,gengamma,-2.701e+02,5.462e+02
NCT00466167,gengamma,-5.510e+02,1.108e+03
NCT00472199,gengamma,-6.645e+02,1.335e+03
NCT00479401,gengamma,-7.603e+02,1.527e+03
NCT00525512,gengamma,-1.334e+03,2.673e+03
NCT00563381,gengamma,-1.036e+04,2.073e+04
NCT00601250,gengamma,-4.440e+02,8.939e+02
NCT00602472,gengamma,-6.714e+02,1.349e+03
NCT00622284,gengamma,-3.147e+03,6.301e+03
NCT00641043,gengamma,-2.795e+02,5.651e+02
NCT00654381,gengamma,-2.606e+02,5.272e+02
NCT00734474,gengamma,-3.573e+03,7.152e+03
NCT00740051,gengamma,-4.131e+02,8.322e+02
NCT00772538,gengamma,-4.099e+02,8.258e+02
NCT00776984,gengamma,-4.554e+02,9.168e+02
NCT00782210,gengamma,-9.833e+02,1.973e+03
NCT00782509,gengamma,-8.413e+02,1.689e+03
NCT00793624,gengamma,-1.391e+03,2.788e+03
NCT00798161,gengamma,-8.063e+02,1.619e+03
NCT00800683,gengamma,-2.730e+02,5.520e+02
NCT00848081,gengamma,-2.699e+02,5.458e+02
NCT00855582,gengamma,-5.279e+02,1.062e+03
NCT00861757,gengamma,-3.810e+02,7.681e+02
NCT00915772,gengamma,-9.317e+02,1.869e+03
NCT00926289,gengamma,-4.347e+02,8.754e+02
NCT00954447,gengamma,-1.505e+03,3.015e+03
NCT00970632,gengamma,-4.060e+02,8.181e+02
NCT00975195,gengamma,-3.866e+03,7.738e+03
NCT00996658,gengamma,-2.487e+02,5.033e+02
NCT01064687,gengamma,-9.418e+02,1.890e+03
NCT01075282,gengamma,-7.909e+02,1.588e+03
NCT01084005,gengamma,-1.787e+02,3.634e+02
NCT01087502,gengamma,-4.154e+02,8.369e+02
NCT01126437,gengamma,-3.515e+04,7.030e+04
NCT01126580,gengamma,-1.198e+03,2.402e+03
NCT01131676,gengamma,-4.099e+03,8.205e+03
NCT01159600,gengamma,-8.534e+02,1.713e+03
NCT01164501,gengamma,-8.063e+02,1.619e+03
NCT01167881,gengamma,-2.301e+03,4.607e+03
NCT01177813,gengamma,-7.756e+02,1.557e+03
NCT01191268,gengamma,-1.319e+03,2.645e+03
NCT01191944,gengamma,-2.908e+02,5.877e+02
NCT01194830,gengamma,-3.837e+02,7.734e+02
NCT01204294,gengamma,-3.450e+02,6.961e+02
NCT01210001,gengamma,-3.351e+02,6.761e+02
NCT01214239,gengamma,-2.430e+02,4.921e+02
NCT01306214,gengamma,-7.556e+02,1.517e+03
NCT01335464,gengamma,-9.430e+02,1.892e+03
NCT01335477,gengamma,-1.000e+03,2.007e+03
NCT01368081,gengamma,-8.960e+02,1.798e+03
NCT01370005,gengamma,-2.989e+02,6.039e+02
NCT01422876,gengamma,-1.674e+03,3.354e+03
NCT01558271,gengamma,-4.076e+02,8.212e+02
NCT01621178,gengamma,-8.018e+02,1.610e+03
NCT01624259,gengamma,-3.302e+02,6.664e+02
NCT01694771,gengamma,-6.244e+02,1.255e+03
NCT01708902,gengamma,-5.448e+02,1.096e+03
NCT01719003,gengamma,-1.014e+03,2.033e+03
NCT01769378,gengamma,-1.994e+02,4.048e+02
NCT02152371,gengamma,-2.298e+02,4.656e+02
NCT02172287,gengamma,-8.718e+02,1.750e+03
NCT02172586,gengamma,-3.868e+02,7.796e+02
NCT02175355,gengamma,-4.761e+02,9.581e+02
NCT02177344,gengamma,-6.094e+02,1.225e+03
NCT02177396,gengamma,-2.412e+02,4.883e+02
NCT02177461,gengamma,-7.661e+02,1.538e+03
NCT02183064,gengamma,-9.198e+02,1.846e+03
NCT02200653,gengamma,-1.455e+02,2.971e+02
NCT02240680,gengamma,-2.028e+02,4.115e+02
NCT02489968,gengamma,-2.264e+02,4.588e+02
NCT02750410,gengamma,-1.532e+02,3.125e+02
NCT00034840,gompertz,-2.476e+02,4.991e+02
NCT00051558,gompertz,-1.565e+03,3.135e+03
NCT00125918,gompertz,-4.733e+02,9.506e+02
