ctgov,dist,loglik,aic
NCT01306214,weibull,-7.557e+02,1.515e+03
NCT01335464,weibull,-9.428e+02,1.890e+03
NCT01335477,weibull,-1.000e+03,2.005e+03
NCT01368081,weibull,-8.962e+02,1.796e+03
NCT01370005,weibull,-3.001e+02,6.042e+02
NCT01422876,weibull,-1.674e+03,3.352e+03
NCT01558271,weibull,-4.076e+02,8.193e+02
NCT01621178,weibull,-8.014e+02,1.607e+03
NCT01624259,weibull,-3.313e+02,6.666e+02
NCT01694771,weibull,-6.244e+02,1.253e+03
NCT01708902,weibull,-5.445e+02,1.093e+03
NCT01719003,weibull,-1.014e+03,2.032e+03
NCT01769378,weibull,-2.060e+02,4.161e+02
NCT02152371,weibull,-2.319e+02,4.677e+02
NCT02172287,weibull,-8.746e+02,1.753e+03
NCT02172586,weibull,-3.868e+02,7.775e+02
NCT02175355,weibull,-4.777e+02,9.593e+02
NCT02177344,weibull,-6.085e+02,1.221e+03
NCT02177396,weibull,-2.422e+02,4.884e+02
NCT02177461,weibull,-7.675e+02,1.539e+03
NCT02183064,weibull,-9.257e+02,1.855e+03
NCT02200653,weibull,-1.456e+02,2.951e+02
NCT02240680,weibull,-2.029e+02,4.099e+02
NCT02489968,weibull,-2.277e+02,4.594e+02
NCT02750410,weibull,-1.541e+02,3.121e+02
