ctgov,dat
NCT00274612," t=1.000e+00, est=9.975e-01 ; t=1.100e+01, est=9.913e-01 ; t=1.300e+01, est=9.863e-01 ; t=1.400e+01, est=9.825e-01 ; t=1.700e+01, est=9.788e-01 ; t=1.900e+01, est=9.775e-01 ; t=2.100e+01, est=9.738e-01 ; t=2.300e+01, est=9.725e-01 ; t=2.400e+01, est=9.700e-01 ; t=3.200e+01, est=9.663e-01 ; t=3.400e+01, est=9.638e-01 ; t=4.400e+01, est=9.625e-01 ; t=4.500e+01, est=9.600e-01 ; t=4.700e+01, est=9.576e-01 ; t=5.300e+01, est=9.551e-01 ; t=5.500e+01, est=9.426e-01 ; t=5.600e+01, est=9.338e-01 ; t=6.100e+01, est=9.276e-01 ; t=6.400e+01, est=9.201e-01 ; t=6.900e+01, est=9.151e-01 ; t=8.300e+01, est=9.063e-01 ; t=8.500e+01, est=9.038e-01 ; t=8.900e+01, est=9.038e-01 ; t=9.100e+01, est=9.012e-01 ; t=9.300e+01, est=9.012e-01 ; t=9.500e+01, est=8.999e-01 ; t=9.600e+01, est=8.971e-01 ; t=1.310e+02, est=8.971e-01 "
NCT00277264," t=1.000e+00, est=9.967e-01 ; t=5.000e+00, est=9.858e-01 ; t=6.000e+00, est=9.781e-01 ; t=1.000e+01, est=9.693e-01 ; t=1.400e+01, est=9.485e-01 ; t=3.000e+01, est=9.244e-01 ; t=5.400e+01, est=9.025e-01 ; t=7.200e+01, est=8.927e-01 ; t=7.500e+01, est=8.883e-01 ; t=7.600e+01, est=8.806e-01 ; t=7.800e+01, est=8.740e-01 ; t=1.010e+02, est=8.620e-01 ; t=1.130e+02, est=8.499e-01 ; t=1.400e+02, est=8.390e-01 ; t=1.460e+02, est=8.313e-01 ; t=1.670e+02, est=8.182e-01 ; t=2.030e+02, est=8.083e-01 ; t=2.110e+02, est=7.985e-01 ; t=2.260e+02, est=7.886e-01 ; t=2.470e+02, est=7.798e-01 ; t=2.700e+02, est=7.766e-01 ; t=2.740e+02, est=7.722e-01 ; t=2.870e+02, est=7.700e-01 ; t=3.140e+02, est=7.700e-01 ; t=3.220e+02, est=7.643e-01 ; t=3.340e+02, est=7.630e-01 ; t=3.350e+02, est=7.594e-01 ; t=3.930e+02, est=7.594e-01 "
NCT00321854," t=2.000e+00, est=9.981e-01 ; t=2.700e+01, est=9.776e-01 ; t=3.500e+01, est=9.645e-01 ; t=5.100e+01, est=9.533e-01 ; t=6.100e+01, est=9.364e-01 ; t=8.300e+01, est=9.178e-01 ; t=9.200e+01, est=8.972e-01 ; t=1.010e+02, est=8.935e-01 ; t=1.190e+02, est=8.729e-01 ; t=1.400e+02, est=8.673e-01 ; t=1.600e+02, est=8.542e-01 ; t=1.690e+02, est=8.411e-01 ; t=1.850e+02, est=8.336e-01 ; t=1.970e+02, est=8.224e-01 ; t=2.220e+02, est=8.112e-01 ; t=2.310e+02, est=8.019e-01 ; t=2.460e+02, est=8.000e-01 ; t=2.530e+02, est=7.888e-01 ; t=2.940e+02, est=7.700e-01 ; t=3.120e+02, est=7.530e-01 ; t=3.430e+02, est=7.472e-01 ; t=3.520e+02, est=7.384e-01 ; t=3.640e+02, est=7.384e-01 ; t=3.870e+02, est=7.290e-01 ; t=4.120e+02, est=7.290e-01 ; t=4.160e+02, est=7.235e-01 ; t=5.000e+02, est=7.235e-01 "
NCT00384930," t=2.000e+00, est=9.953e-01 ; t=5.000e+00, est=9.934e-01 ; t=6.000e+00, est=9.886e-01 ; t=8.000e+00, est=9.839e-01 ; t=1.100e+01, est=9.801e-01 ; t=1.300e+01, est=9.754e-01 ; t=2.600e+01, est=9.640e-01 ; t=2.700e+01, est=9.602e-01 ; t=2.800e+01, est=9.489e-01 ; t=2.900e+01, est=9.413e-01 ; t=3.200e+01, est=9.337e-01 ; t=3.300e+01, est=9.290e-01 ; t=3.500e+01, est=9.280e-01 ; t=3.700e+01, est=9.223e-01 ; t=4.700e+01, est=9.148e-01 ; t=4.900e+01, est=9.110e-01 ; t=5.300e+01, est=9.081e-01 ; t=5.500e+01, est=9.044e-01 ; t=5.600e+01, est=8.968e-01 ; t=5.700e+01, est=8.920e-01 ; t=5.900e+01, est=8.883e-01 ; t=6.300e+01, est=8.854e-01 ; t=6.600e+01, est=8.797e-01 ; t=7.000e+01, est=8.759e-01 ; t=7.100e+01, est=8.731e-01 ; t=8.200e+01, est=8.672e-01 ; t=8.400e+01, est=8.616e-01 ; t=1.920e+02, est=8.616e-01 "
NCT00402233," t=3.000e+00, est=9.968e-01 ; t=4.000e+00, est=9.904e-01 ; t=1.100e+01, est=9.871e-01 ; t=1.300e+01, est=9.807e-01 ; t=1.600e+01, est=9.743e-01 ; t=1.700e+01, est=9.711e-01 ; t=1.800e+01, est=9.582e-01 ; t=2.000e+01, est=9.550e-01 ; t=2.200e+01, est=9.357e-01 ; t=2.400e+01, est=9.325e-01 ; t=2.500e+01, est=9.293e-01 ; t=2.700e+01, est=9.260e-01 ; t=2.800e+01, est=9.228e-01 ; t=3.100e+01, est=9.196e-01 ; t=3.200e+01, est=9.164e-01 ; t=3.400e+01, est=9.132e-01 ; t=3.500e+01, est=9.068e-01 ; t=4.200e+01, est=9.035e-01 ; t=4.500e+01, est=9.003e-01 ; t=4.900e+01, est=8.971e-01 ; t=5.100e+01, est=8.939e-01 ; t=6.200e+01, est=8.907e-01 ; t=6.700e+01, est=8.875e-01 ; t=6.800e+01, est=8.842e-01 ; t=7.000e+01, est=8.810e-01 ; t=1.000e+02, est=8.810e-01 "
NCT00466167," t=1.000e+00, est=9.981e-01 ; t=2.000e+00, est=9.961e-01 ; t=3.000e+00, est=9.903e-01 ; t=7.000e+00, est=9.826e-01 ; t=3.000e+01, est=9.632e-01 ; t=3.500e+01, est=9.536e-01 ; t=4.300e+01, est=9.516e-01 ; t=4.900e+01, est=9.439e-01 ; t=5.500e+01, est=9.400e-01 ; t=5.800e+01, est=9.304e-01 ; t=6.800e+01, est=9.246e-01 ; t=7.900e+01, est=9.226e-01 ; t=8.000e+01, est=9.188e-01 ; t=1.120e+02, est=9.052e-01 ; t=1.280e+02, est=9.014e-01 ; t=1.400e+02, est=8.930e-01 ; t=1.480e+02, est=8.930e-01 ; t=1.550e+02, est=8.868e-01 ; t=1.580e+02, est=8.868e-01 ; t=1.620e+02, est=8.803e-01 ; t=1.790e+02, est=8.780e-01 ; t=1.820e+02, est=8.733e-01 ; t=1.950e+02, est=8.733e-01 ; t=1.960e+02, est=8.709e-01 ; t=2.010e+02, est=8.684e-01 ; t=2.300e+02, est=8.684e-01 ; t=2.310e+02, est=8.647e-01 ; t=2.730e+02, est=8.647e-01 "
NCT00472199," t=1.000e+00, est=9.939e-01 ; t=7.000e+00, est=9.635e-01 ; t=1.300e+01, est=9.574e-01 ; t=2.000e+01, est=9.362e-01 ; t=2.100e+01, est=9.240e-01 ; t=2.400e+01, est=9.149e-01 ; t=2.700e+01, est=8.906e-01 ; t=2.800e+01, est=8.663e-01 ; t=3.200e+01, est=8.602e-01 ; t=3.400e+01, est=8.480e-01 ; t=4.000e+01, est=8.450e-01 ; t=4.100e+01, est=8.298e-01 ; t=4.700e+01, est=8.176e-01 ; t=4.900e+01, est=8.085e-01 ; t=7.100e+01, est=7.933e-01 ; t=7.200e+01, est=7.872e-01 ; t=8.200e+01, est=7.812e-01 ; t=8.300e+01, est=7.690e-01 ; t=8.800e+01, est=7.599e-01 ; t=1.010e+02, est=7.508e-01 ; t=1.040e+02, est=7.416e-01 ; t=1.250e+02, est=7.325e-01 ; t=1.280e+02, est=7.234e-01 ; t=1.580e+02, est=7.142e-01 ; t=1.790e+02, est=7.142e-01 ; t=1.800e+02, est=7.105e-01 ; t=2.090e+02, est=7.105e-01 "
NCT00479401," t=1.000e+00, est=9.926e-01 ; t=3.000e+00, est=9.814e-01 ; t=6.000e+00, est=9.759e-01 ; t=7.000e+00, est=9.703e-01 ; t=1.300e+01, est=9.666e-01 ; t=1.400e+01, est=9.610e-01 ; t=1.900e+01, est=9.555e-01 ; t=2.700e+01, est=9.518e-01 ; t=2.800e+01, est=9.443e-01 ; t=3.400e+01, est=9.388e-01 ; t=3.500e+01, est=9.332e-01 ; t=4.100e+01, est=9.276e-01 ; t=4.300e+01, est=9.221e-01 ; t=6.600e+01, est=9.072e-01 ; t=7.000e+01, est=9.017e-01 ; t=7.900e+01, est=8.980e-01 ; t=8.100e+01, est=8.924e-01 ; t=8.700e+01, est=8.868e-01 ; t=9.000e+01, est=8.794e-01 ; t=9.200e+01, est=8.701e-01 ; t=1.640e+02, est=8.367e-01 ; t=1.940e+02, est=8.312e-01 ; t=1.960e+02, est=8.275e-01 ; t=2.010e+02, est=8.256e-01 ; t=2.290e+02, est=8.219e-01 ; t=2.300e+02, est=8.196e-01 ; t=2.680e+02, est=8.196e-01 "
NCT00525512," t=1.000e+00, est=9.942e-01 ; t=2.200e+01, est=9.653e-01 ; t=5.400e+01, est=9.538e-01 ; t=6.200e+01, est=9.326e-01 ; t=6.400e+01, est=9.191e-01 ; t=7.100e+01, est=9.133e-01 ; t=7.300e+01, est=8.882e-01 ; t=7.600e+01, est=8.805e-01 ; t=9.500e+01, est=8.748e-01 ; t=1.210e+02, est=8.516e-01 ; t=1.370e+02, est=8.497e-01 ; t=1.460e+02, est=8.401e-01 ; t=2.180e+02, est=8.285e-01 ; t=2.240e+02, est=8.150e-01 ; t=2.340e+02, est=8.092e-01 ; t=3.350e+02, est=7.958e-01 ; t=3.450e+02, est=7.823e-01 ; t=4.350e+02, est=7.649e-01 ; t=4.640e+02, est=7.418e-01 ; t=5.580e+02, est=7.303e-01 ; t=5.650e+02, est=7.168e-01 ; t=5.960e+02, est=7.071e-01 ; t=6.700e+02, est=6.994e-01 ; t=6.770e+02, est=6.935e-01 ; t=6.780e+02, est=6.849e-01 ; t=7.030e+02, est=6.849e-01 ; t=7.070e+02, est=6.088e-01 ; t=7.310e+02, est=6.088e-01 "
NCT00563381," t=1.000e+00, est=9.962e-01 ; t=4.000e+00, est=9.936e-01 ; t=1.400e+01, est=9.809e-01 ; t=1.800e+01, est=9.776e-01 ; t=2.100e+01, est=9.736e-01 ; t=2.600e+01, est=9.699e-01 ; t=3.500e+01, est=9.596e-01 ; t=4.800e+01, est=9.519e-01 ; t=5.400e+01, est=9.470e-01 ; t=6.300e+01, est=9.314e-01 ; t=7.100e+01, est=9.246e-01 ; t=9.600e+01, est=9.142e-01 ; t=1.100e+02, est=9.098e-01 ; t=1.180e+02, est=9.048e-01 ; t=1.210e+02, est=9.003e-01 ; t=1.260e+02, est=8.956e-01 ; t=1.370e+02, est=8.903e-01 ; t=1.420e+02, est=8.895e-01 ; t=1.560e+02, est=8.837e-01 ; t=1.720e+02, est=8.809e-01 ; t=2.020e+02, est=8.725e-01 ; t=2.180e+02, est=8.654e-01 ; t=2.340e+02, est=8.621e-01 ; t=2.450e+02, est=8.546e-01 ; t=2.930e+02, est=8.428e-01 ; t=3.200e+02, est=8.401e-01 ; t=3.580e+02, est=8.329e-01 ; t=4.120e+02, est=8.329e-01 "
NCT00601250," t=1.000e+00, est=9.971e-01 ; t=1.300e+01, est=9.929e-01 ; t=1.500e+01, est=9.900e-01 ; t=1.900e+01, est=9.871e-01 ; t=2.700e+01, est=9.786e-01 ; t=4.000e+01, est=9.771e-01 ; t=4.600e+01, est=9.729e-01 ; t=4.900e+01, est=9.686e-01 ; t=5.900e+01, est=9.657e-01 ; t=6.200e+01, est=9.629e-01 ; t=6.900e+01, est=9.600e-01 ; t=8.400e+01, est=9.586e-01 ; t=9.600e+01, est=9.486e-01 ; t=1.260e+02, est=9.443e-01 ; t=1.270e+02, est=9.429e-01 ; t=1.370e+02, est=9.400e-01 ; t=1.500e+02, est=9.386e-01 ; t=1.530e+02, est=9.343e-01 ; t=1.640e+02, est=9.328e-01 ; t=1.650e+02, est=9.314e-01 ; t=1.660e+02, est=9.314e-01 ; t=1.670e+02, est=9.284e-01 ; t=1.730e+02, est=9.284e-01 ; t=1.740e+02, est=9.245e-01 ; t=2.070e+02, est=9.245e-01 "
NCT00602472," t=2.000e+00, est=9.991e-01 ; t=1.100e+01, est=9.934e-01 ; t=2.100e+01, est=9.905e-01 ; t=3.000e+01, est=9.829e-01 ; t=3.900e+01, est=9.820e-01 ; t=4.000e+01, est=9.810e-01 ; t=4.100e+01, est=9.782e-01 ; t=6.200e+01, est=9.725e-01 ; t=6.800e+01, est=9.697e-01 ; t=8.200e+01, est=9.668e-01 ; t=8.500e+01, est=9.621e-01 ; t=9.500e+01, est=9.564e-01 ; t=9.800e+01, est=9.526e-01 ; t=1.000e+02, est=9.517e-01 ; t=1.100e+02, est=9.488e-01 ; t=1.230e+02, est=9.479e-01 ; t=1.260e+02, est=9.441e-01 ; t=1.310e+02, est=9.412e-01 ; t=1.330e+02, est=9.384e-01 ; t=1.450e+02, est=9.336e-01 ; t=1.630e+02, est=9.327e-01 ; t=1.680e+02, est=9.287e-01 ; t=1.730e+02, est=9.287e-01 ; t=1.750e+02, est=9.215e-01 ; t=2.130e+02, est=9.215e-01 "
NCT00622284," t=1.000e+00, est=9.987e-01 ; t=1.200e+01, est=9.877e-01 ; t=2.500e+01, est=9.832e-01 ; t=2.800e+01, est=9.768e-01 ; t=3.300e+01, est=9.749e-01 ; t=4.000e+01, est=9.652e-01 ; t=5.900e+01, est=9.555e-01 ; t=8.300e+01, est=9.342e-01 ; t=1.130e+02, est=9.233e-01 ; t=1.220e+02, est=9.110e-01 ; t=1.880e+02, est=8.988e-01 ; t=2.130e+02, est=8.878e-01 ; t=2.700e+02, est=8.788e-01 ; t=3.020e+02, est=8.614e-01 ; t=3.070e+02, est=8.562e-01 ; t=3.630e+02, est=8.433e-01 ; t=3.790e+02, est=8.349e-01 ; t=4.270e+02, est=8.272e-01 ; t=4.770e+02, est=8.137e-01 ; t=5.430e+02, est=8.098e-01 ; t=5.610e+02, est=8.027e-01 ; t=6.320e+02, est=7.930e-01 ; t=6.500e+02, est=7.859e-01 ; t=6.530e+02, est=7.814e-01 ; t=6.720e+02, est=7.756e-01 ; t=7.180e+02, est=7.698e-01 ; t=8.030e+02, est=7.698e-01 "
NCT00641043," t=1.000e+00, est=9.949e-01 ; t=4.000e+00, est=9.923e-01 ; t=6.000e+00, est=9.897e-01 ; t=9.000e+00, est=9.846e-01 ; t=1.100e+01, est=9.794e-01 ; t=3.200e+01, est=9.743e-01 ; t=4.600e+01, est=9.692e-01 ; t=5.000e+01, est=9.589e-01 ; t=5.300e+01, est=9.563e-01 ; t=6.000e+01, est=9.537e-01 ; t=6.100e+01, est=9.512e-01 ; t=6.400e+01, est=9.486e-01 ; t=7.200e+01, est=9.460e-01 ; t=8.400e+01, est=9.434e-01 ; t=8.700e+01, est=9.409e-01 ; t=9.800e+01, est=9.383e-01 ; t=1.040e+02, est=9.357e-01 ; t=1.260e+02, est=9.332e-01 ; t=1.320e+02, est=9.306e-01 ; t=1.340e+02, est=9.280e-01 ; t=1.390e+02, est=9.254e-01 ; t=1.640e+02, est=9.254e-01 ; t=1.650e+02, est=9.228e-01 ; t=1.660e+02, est=9.228e-01 ; t=1.670e+02, est=9.172e-01 ; t=1.680e+02, est=9.172e-01 ; t=1.690e+02, est=9.106e-01 ; t=1.940e+02, est=9.106e-01 "
NCT00654381," t=1.920e+02, est=9.981e-01 ; t=1.930e+02, est=9.962e-01 ; t=2.030e+02, est=9.943e-01 ; t=2.210e+02, est=9.924e-01 ; t=2.240e+02, est=9.866e-01 ; t=2.360e+02, est=9.847e-01 ; t=2.400e+02, est=9.828e-01 ; t=2.470e+02, est=9.809e-01 ; t=2.480e+02, est=9.790e-01 ; t=2.510e+02, est=9.771e-01 ; t=2.520e+02, est=9.713e-01 ; t=2.530e+02, est=9.694e-01 ; t=2.570e+02, est=9.675e-01 ; t=2.580e+02, est=9.656e-01 ; t=2.600e+02, est=9.637e-01 ; t=2.770e+02, est=9.618e-01 ; t=2.790e+02, est=9.598e-01 ; t=2.860e+02, est=9.579e-01 ; t=2.920e+02, est=9.541e-01 ; t=2.980e+02, est=9.522e-01 ; t=3.020e+02, est=9.484e-01 ; t=3.100e+02, est=9.465e-01 ; t=3.450e+02, est=9.446e-01 ; t=3.700e+02, est=9.446e-01 "
NCT00734474," t=2.000e+00, est=9.991e-01 ; t=1.300e+01, est=9.918e-01 ; t=1.400e+01, est=9.781e-01 ; t=1.500e+01, est=9.745e-01 ; t=2.900e+01, est=9.563e-01 ; t=5.000e+01, est=9.426e-01 ; t=6.300e+01, est=9.226e-01 ; t=8.100e+01, est=9.153e-01 ; t=8.500e+01, est=9.071e-01 ; t=1.170e+02, est=8.953e-01 ; t=1.490e+02, est=8.743e-01 ; t=1.810e+02, est=8.652e-01 ; t=1.840e+02, est=8.543e-01 ; t=2.060e+02, est=8.342e-01 ; t=2.720e+02, est=8.160e-01 ; t=3.120e+02, est=7.832e-01 ; t=3.630e+02, est=7.696e-01 ; t=3.730e+02, est=7.523e-01 ; t=3.960e+02, est=7.413e-01 ; t=4.140e+02, est=7.250e-01 ; t=4.920e+02, est=6.867e-01 ; t=5.420e+02, est=6.730e-01 ; t=5.540e+02, est=6.576e-01 ; t=5.900e+02, est=6.384e-01 ; t=6.310e+02, est=6.330e-01 ; t=6.450e+02, est=6.230e-01 ; t=7.070e+02, est=6.056e-01 ; t=8.930e+02, est=6.046e-01 "
NCT00740051," t=4.000e+00, est=9.956e-01 ; t=4.000e+01, est=9.824e-01 ; t=4.100e+01, est=9.780e-01 ; t=5.000e+01, est=9.648e-01 ; t=6.300e+01, est=9.515e-01 ; t=7.600e+01, est=9.471e-01 ; t=9.600e+01, est=9.207e-01 ; t=1.250e+02, est=9.119e-01 ; t=1.270e+02, est=9.031e-01 ; t=1.320e+02, est=8.987e-01 ; t=1.340e+02, est=8.899e-01 ; t=1.390e+02, est=8.811e-01 ; t=1.670e+02, est=8.722e-01 ; t=1.940e+02, est=8.590e-01 ; t=2.030e+02, est=8.502e-01 ; t=2.170e+02, est=8.458e-01 ; t=2.180e+02, est=8.414e-01 ; t=2.450e+02, est=8.282e-01 ; t=2.470e+02, est=8.238e-01 ; t=2.850e+02, est=8.194e-01 ; t=2.900e+02, est=8.150e-01 ; t=2.920e+02, est=8.062e-01 ; t=3.230e+02, est=7.885e-01 ; t=3.570e+02, est=7.885e-01 ; t=3.580e+02, est=7.840e-01 ; t=3.700e+02, est=7.840e-01 ; t=3.710e+02, est=7.513e-01 ; t=3.840e+02, est=7.513e-01 "
NCT00772538," t=1.000e+00, est=9.935e-01 ; t=5.000e+00, est=9.913e-01 ; t=1.600e+01, est=9.804e-01 ; t=2.600e+01, est=9.782e-01 ; t=2.700e+01, est=9.739e-01 ; t=2.900e+01, est=9.695e-01 ; t=5.600e+01, est=9.608e-01 ; t=6.400e+01, est=9.564e-01 ; t=1.070e+02, est=9.477e-01 ; t=1.160e+02, est=9.412e-01 ; t=1.550e+02, est=9.390e-01 ; t=1.690e+02, est=9.368e-01 ; t=1.710e+02, est=9.346e-01 ; t=1.820e+02, est=9.325e-01 ; t=2.040e+02, est=9.303e-01 ; t=2.050e+02, est=9.281e-01 ; t=2.120e+02, est=9.259e-01 ; t=2.700e+02, est=9.194e-01 ; t=2.730e+02, est=9.150e-01 ; t=2.820e+02, est=9.129e-01 ; t=3.160e+02, est=9.085e-01 ; t=3.190e+02, est=9.041e-01 ; t=3.210e+02, est=9.041e-01 ; t=3.220e+02, est=9.019e-01 ; t=3.340e+02, est=9.019e-01 ; t=3.350e+02, est=8.991e-01 ; t=4.110e+02, est=8.991e-01 "
NCT00776984," t=7.000e+00, est=9.978e-01 ; t=2.700e+01, est=9.956e-01 ; t=3.600e+01, est=9.912e-01 ; t=3.800e+01, est=9.868e-01 ; t=5.700e+01, est=9.845e-01 ; t=6.500e+01, est=9.779e-01 ; t=8.100e+01, est=9.735e-01 ; t=9.300e+01, est=9.669e-01 ; t=1.050e+02, est=9.647e-01 ; t=1.210e+02, est=9.558e-01 ; t=1.480e+02, est=9.492e-01 ; t=1.520e+02, est=9.448e-01 ; t=1.660e+02, est=9.404e-01 ; t=1.680e+02, est=9.360e-01 ; t=1.710e+02, est=9.338e-01 ; t=1.780e+02, est=9.316e-01 ; t=2.230e+02, est=9.294e-01 ; t=2.260e+02, est=9.205e-01 ; t=2.310e+02, est=9.161e-01 ; t=2.570e+02, est=9.073e-01 ; t=2.790e+02, est=9.051e-01 ; t=2.800e+02, est=9.029e-01 ; t=2.870e+02, est=8.985e-01 ; t=3.000e+02, est=8.962e-01 ; t=3.110e+02, est=8.918e-01 ; t=3.270e+02, est=8.918e-01 ; t=3.280e+02, est=8.874e-01 ; t=4.330e+02, est=8.874e-01 "
NCT00782210," t=1.000e+00, est=9.952e-01 ; t=6.000e+00, est=9.872e-01 ; t=1.100e+01, est=9.840e-01 ; t=1.400e+01, est=9.712e-01 ; t=1.800e+01, est=9.647e-01 ; t=3.500e+01, est=9.567e-01 ; t=4.400e+01, est=9.375e-01 ; t=8.100e+01, est=9.199e-01 ; t=8.700e+01, est=9.103e-01 ; t=1.150e+02, est=9.038e-01 ; t=1.260e+02, est=8.910e-01 ; t=1.610e+02, est=8.814e-01 ; t=1.670e+02, est=8.782e-01 ; t=1.680e+02, est=8.734e-01 ; t=1.750e+02, est=8.718e-01 ; t=1.770e+02, est=8.654e-01 ; t=2.050e+02, est=8.622e-01 ; t=2.210e+02, est=8.558e-01 ; t=2.310e+02, est=8.478e-01 ; t=2.760e+02, est=8.365e-01 ; t=2.990e+02, est=8.253e-01 ; t=3.280e+02, est=8.173e-01 ; t=3.340e+02, est=8.121e-01 ; t=3.430e+02, est=8.121e-01 ; t=3.440e+02, est=7.889e-01 ; t=3.480e+02, est=7.889e-01 ; t=3.500e+02, est=7.473e-01 ; t=3.900e+02, est=7.473e-01 "
NCT00782509," t=1.000e+00, est=9.984e-01 ; t=3.000e+00, est=9.969e-01 ; t=7.000e+00, est=9.891e-01 ; t=1.000e+01, est=9.860e-01 ; t=1.100e+01, est=9.798e-01 ; t=1.800e+01, est=9.720e-01 ; t=2.800e+01, est=9.642e-01 ; t=4.000e+01, est=9.595e-01 ; t=4.600e+01, est=9.517e-01 ; t=5.300e+01, est=9.455e-01 ; t=7.000e+01, est=9.408e-01 ; t=8.400e+01, est=9.346e-01 ; t=9.700e+01, est=9.221e-01 ; t=1.190e+02, est=9.112e-01 ; t=1.410e+02, est=9.065e-01 ; t=1.560e+02, est=8.988e-01 ; t=1.670e+02, est=8.972e-01 ; t=1.710e+02, est=8.941e-01 ; t=1.760e+02, est=8.847e-01 ; t=2.030e+02, est=8.754e-01 ; t=2.800e+02, est=8.660e-01 ; t=2.860e+02, est=8.598e-01 ; t=2.980e+02, est=8.551e-01 ; t=3.340e+02, est=8.505e-01 ; t=3.360e+02, est=8.463e-01 ; t=3.420e+02, est=8.463e-01 ; t=3.430e+02, est=8.297e-01 ; t=4.290e+02, est=8.297e-01 "
NCT00793624," t=1.000e+00, est=9.956e-01 ; t=1.600e+01, est=9.723e-01 ; t=2.300e+01, est=9.667e-01 ; t=3.400e+01, est=9.634e-01 ; t=4.100e+01, est=9.523e-01 ; t=4.200e+01, est=9.479e-01 ; t=6.200e+01, est=9.224e-01 ; t=6.700e+01, est=9.180e-01 ; t=8.300e+01, est=9.146e-01 ; t=8.400e+01, est=9.102e-01 ; t=8.800e+01, est=9.091e-01 ; t=9.200e+01, est=9.024e-01 ; t=9.900e+01, est=9.013e-01 ; t=1.140e+02, est=8.891e-01 ; t=1.420e+02, est=8.792e-01 ; t=1.500e+02, est=8.736e-01 ; t=1.640e+02, est=8.714e-01 ; t=1.950e+02, est=8.514e-01 ; t=2.160e+02, est=8.481e-01 ; t=2.230e+02, est=8.448e-01 ; t=2.300e+02, est=8.370e-01 ; t=2.630e+02, est=8.226e-01 ; t=3.060e+02, est=8.149e-01 ; t=3.350e+02, est=8.149e-01 ; t=3.420e+02, est=8.130e-01 ; t=3.430e+02, est=8.017e-01 ; t=3.700e+02, est=8.017e-01 "
NCT00798161," t=1.000e+00, est=9.975e-01 ; t=3.000e+00, est=9.937e-01 ; t=1.200e+01, est=9.861e-01 ; t=1.300e+01, est=9.810e-01 ; t=1.900e+01, est=9.697e-01 ; t=3.400e+01, est=9.608e-01 ; t=3.600e+01, est=9.570e-01 ; t=4.000e+01, est=9.545e-01 ; t=4.100e+01, est=9.520e-01 ; t=4.600e+01, est=9.469e-01 ; t=4.900e+01, est=9.418e-01 ; t=5.000e+01, est=9.355e-01 ; t=5.500e+01, est=9.317e-01 ; t=6.500e+01, est=9.279e-01 ; t=7.700e+01, est=9.191e-01 ; t=8.400e+01, est=9.166e-01 ; t=8.900e+01, est=9.128e-01 ; t=9.300e+01, est=9.064e-01 ; t=1.310e+02, est=8.938e-01 ; t=1.370e+02, est=8.862e-01 ; t=1.450e+02, est=8.824e-01 ; t=1.500e+02, est=8.824e-01 ; t=1.540e+02, est=8.799e-01 ; t=1.690e+02, est=8.773e-01 ; t=1.700e+02, est=8.722e-01 ; t=1.710e+02, est=8.722e-01 ; t=1.720e+02, est=8.690e-01 ; t=1.900e+02, est=8.690e-01 "
NCT00800683," t=1.000e+00, est=9.923e-01 ; t=1.000e+01, est=9.846e-01 ; t=2.700e+01, est=9.769e-01 ; t=2.900e+01, est=9.615e-01 ; t=3.500e+01, est=9.462e-01 ; t=4.600e+01, est=9.385e-01 ; t=4.700e+01, est=9.308e-01 ; t=5.100e+01, est=9.231e-01 ; t=6.100e+01, est=9.154e-01 ; t=6.700e+01, est=9.077e-01 ; t=7.400e+01, est=9.000e-01 ; t=8.400e+01, est=8.846e-01 ; t=1.030e+02, est=8.769e-01 ; t=1.070e+02, est=8.692e-01 ; t=1.350e+02, est=8.462e-01 ; t=1.590e+02, est=8.385e-01 ; t=2.230e+02, est=8.231e-01 ; t=2.390e+02, est=8.077e-01 ; t=2.520e+02, est=8.000e-01 ; t=2.580e+02, est=7.923e-01 ; t=2.690e+02, est=7.846e-01 ; t=2.710e+02, est=7.692e-01 ; t=2.860e+02, est=7.615e-01 ; t=2.930e+02, est=7.538e-01 ; t=3.330e+02, est=7.462e-01 ; t=3.590e+02, est=7.462e-01 ; t=3.610e+02, est=7.379e-01 ; t=3.950e+02, est=7.379e-01 "
NCT00848081," t=4.000e+00, est=9.969e-01 ; t=9.000e+00, est=9.937e-01 ; t=1.200e+01, est=9.906e-01 ; t=1.400e+01, est=9.811e-01 ; t=1.500e+01, est=9.780e-01 ; t=1.600e+01, est=9.717e-01 ; t=2.300e+01, est=9.686e-01 ; t=2.400e+01, est=9.654e-01 ; t=2.800e+01, est=9.591e-01 ; t=2.900e+01, est=9.528e-01 ; t=3.100e+01, est=9.497e-01 ; t=3.500e+01, est=9.465e-01 ; t=3.600e+01, est=9.434e-01 ; t=4.100e+01, est=9.403e-01 ; t=4.200e+01, est=9.371e-01 ; t=4.600e+01, est=9.308e-01 ; t=5.500e+01, est=9.214e-01 ; t=5.700e+01, est=9.151e-01 ; t=5.800e+01, est=9.088e-01 ; t=5.900e+01, est=9.057e-01 ; t=6.500e+01, est=9.025e-01 ; t=7.000e+01, est=8.994e-01 ; t=7.200e+01, est=8.931e-01 ; t=7.700e+01, est=8.899e-01 ; t=7.800e+01, est=8.867e-01 ; t=1.160e+02, est=8.867e-01 "
